ab120024 0 1 2 3
ab120028 1 4 1 3
ab12002c 2 -1 4 7
ab120030 0 1 2 3
ab120034 1 4 1 3
ab120038 2 -1 4 7
ab12003c 0 1 2 3
ab120040 1 4 1 3
ab120044 2 -1 4 7
ab120048 0 1 2 3
ab12004c 1 4 1 3
ab120050 2 -1 4 7
ab120054 0 1 2 3
ab120058 1 4 1 3
ab12005c 2 -1 4 7
ab120060 0 1 2 3
ab120064 1 4 1 3
ab120068 2 -1 4 7
ab12006c 0 1 2 3
ab120070 1 4 1 3
ab120074 2 -1 4 7
ab120078 0 1 2 3
ab12007c 1 4 1 3
ab120080 2 -1 4 7
ab120084 0 1 2 3
ab120088 1 4 1 3
ab12008c 2 -1 4 7
ab120090 0 1 2 3
ab120094 1 4 1 3
ab120098 2 -1 4 7
